Calling LoadDataSet
LoadDataSet function took 37499.512 ms
10
MRMR
MLP logistic sgd
Selecting features with genetic algorithm.
gen	nevals	avg                      	std                      	min                      	max                      
0  	50    	[ 0.73447222  5.02      ]	[ 0.05403023  1.59361225]	[ 0.57777778  1.        ]	[ 0.83888889  9.        ]
1  	26    	[ 0.77663889  5.3       ]	[ 0.03468185  1.5132746 ]	[ 0.68055556  3.        ]	[ 0.83888889  9.        ]
2  	34    	[ 0.78030556  5.44      ]	[ 0.04161542  1.49879952]	[ 0.61388889  3.        ]	[ 0.85277778  9.        ]
3  	32    	[ 0.79102778  5.26      ]	[ 0.0372017   1.62246726]	[ 0.67222222  3.        ]	[ 0.88472222  9.        ]
4  	30    	[ 0.79322222  5.46      ]	[ 0.04842794  1.63963411]	[ 0.62638889  3.        ]	[ 0.88472222  9.        ]
5  	25    	[ 0.81677778  5.54      ]	[ 0.03991005  1.74596678]	[ 0.71666667  3.        ]	[  0.88472222  10.        ]
6  	32    	[ 0.82358333  5.44      ]	[ 0.04505868  1.56409718]	[ 0.7125  3.    ]        	[ 0.89583333  9.        ]  
7  	23    	[ 0.83761111  5.2       ]	[ 0.03602323  1.0198039 ]	[ 0.74722222  3.        ]	[ 0.89583333  9.        ]  
8  	40    	[ 0.82366667  5.42      ]	[ 0.0390265   0.85064681]	[ 0.725  3.   ]          	[ 0.89583333  9.        ]  
9  	31    	[ 0.82766667  5.44      ]	[ 0.03825963  1.02293695]	[ 0.75  3.  ]            	[ 0.89583333  9.        ]  
10 	37    	[ 0.81825  5.26   ]      	[ 0.03846095  0.82      ]	[ 0.725  3.   ]          	[ 0.89583333  6.        ]  
11 	28    	[ 0.83066667  5.        ]	[ 0.03475092  1.0198039 ]	[ 0.74027778  3.        ]	[ 0.89583333  7.        ]  
12 	30    	[ 0.831  4.74 ]          	[ 0.03787614  1.03556748]	[ 0.66944444  3.        ]	[ 0.89444444  6.        ]  
13 	28    	[ 0.83202778  4.72      ]	[ 0.03757648  1.20066648]	[ 0.75  3.  ]            	[ 0.89444444  7.        ]  
14 	26    	[ 0.83188889  4.44      ]	[ 0.04084085  1.16893114]	[ 0.7375  3.    ]        	[ 0.89444444  6.        ]  
15 	20    	[ 0.85119444  4.56      ]	[ 0.03902161  1.1516944 ]	[ 0.7625  3.    ]        	[ 0.89444444  7.        ]  
16 	38    	[ 0.83344444  4.64      ]	[ 0.04430694  0.99518842]	[ 0.69305556  2.        ]	[ 0.89444444  7.        ]  
17 	25    	[ 0.84916667  4.62      ]	[ 0.03408866  0.8219489 ]	[ 0.75972222  4.        ]	[ 0.89722222  6.        ]  
18 	28    	[ 0.84097222  4.82      ]	[ 0.04176124  0.93145048]	[ 0.7375  3.    ]        	[ 0.89444444  7.        ]  
19 	27    	[ 0.83761111  4.7       ]	[ 0.04569579  1.00498756]	[ 0.73611111  4.        ]	[ 0.89444444  8.        ]  
20 	30    	[ 0.83411111  4.56      ]	[ 0.04407937  1.0031949 ]	[ 0.70416667  3.        ]	[ 0.89444444  8.        ]  
21 	31    	[ 0.83855556  4.36      ]	[ 0.03484485  0.76837491]	[ 0.74722222  3.        ]	[ 0.89444444  6.        ]  
22 	32    	[ 0.83369444  4.34      ]	[ 0.04335186  0.73783467]	[ 0.63611111  3.        ]	[ 0.89444444  7.        ]  
23 	27    	[ 0.84661111  4.28      ]	[ 0.03179089  0.69397406]	[ 0.79305556  3.        ]	[ 0.89444444  6.        ]  
24 	34    	[ 0.82638889  4.58      ]	[ 0.0458939   0.82680106]	[ 0.71527778  3.        ]	[ 0.89444444  6.        ]  
