dataset, size, method, classifier, validationTechnique, mc, timeTaken
 C, 10, MRMR, MLP, LOOCV, 0.37078233741, 0.222162008286
 C, 50, MRMR, MLP, LOOCV, 0.627662426945, 0.251347064972
 C, 100, MRMR, MLP, LOOCV, 0.68758393871, 0.273120164871
 C, 150, MRMR, MLP, LOOCV, 0.728029627641, 0.300384044647
 C, 200, MRMR, MLP, LOOCV, 0.739242313941, 0.320083141327
 C, 250, MRMR, MLP, LOOCV, 0.738474498766, 0.344185113907
 C, 10, JMI, MLP, LOOCV, 0.317744454651, 0.227723836899
 C, 50, JMI, MLP, LOOCV, 0.648265934992, 0.247532129288
 C, 100, JMI, MLP, LOOCV, 0.70824089439, 0.270092010498
 C, 150, JMI, MLP, LOOCV, 0.717593529553, 0.300908088684
 C, 200, JMI, MLP, LOOCV, 0.728902639647, 0.319706916809
 C, 250, JMI, MLP, LOOCV, 0.728902639647, 0.344382047653
 C, 10, JMIM, MLP, LOOCV, 0.33158353997, 0.227224111557
 C, 50, JMIM, MLP, LOOCV, 0.679036352225, 0.247453927994
 C, 100, JMIM, MLP, LOOCV, 0.689270250627, 0.273063182831
 C, 150, JMIM, MLP, LOOCV, 0.695944745166, 0.304331064224
 C, 200, JMIM, MLP, LOOCV, 0.718569752346, 0.319254875183
 C, 250, JMIM, MLP, LOOCV, 0.748930861894, 0.344074010849
 C, 10, MRMR, SVM, LOOCV, 0.655303967551, 0.0102999210358
 C, 50, MRMR, SVM, LOOCV, 0.765179911811, 0.0141320228577
 C, 100, MRMR, SVM, LOOCV, 0.795109971831, 0.0191400051117
 C, 150, MRMR, SVM, LOOCV, 0.774536350034, 0.0243940353394
 C, 200, MRMR, SVM, LOOCV, 0.80624718411, 0.029256105423
 C, 250, MRMR, SVM, LOOCV, 0.795109971831, 0.0347390174866
 C, 10, JMI, SVM, LOOCV, 0.655303967551, 0.0101230144501
 C, 50, JMI, SVM, LOOCV, 0.765179911811, 0.0142769813538
 C, 100, JMI, SVM, LOOCV, 0.795109971831, 0.0192070007324
 C, 150, JMI, SVM, LOOCV, 0.774536350034, 0.0244529247284
 C, 200, JMI, SVM, LOOCV, 0.80624718411, 0.0293619632721
 C, 250, JMI, SVM, LOOCV, 0.795109971831, 0.0347671508789
 C, 10, JMIM, SVM, LOOCV, 0.655303967551, 0.0101430416107
 C, 50, JMIM, SVM, LOOCV, 0.765179911811, 0.0141360759735
 C, 100, JMIM, SVM, LOOCV, 0.795109971831, 0.0188128948212
 C, 150, JMIM, SVM, LOOCV, 0.774536350034, 0.0245718955994
 C, 200, JMIM, SVM, LOOCV, 0.80624718411, 0.0295979976654
 C, 250, JMIM, SVM, LOOCV, 0.795109971831, 0.0347349643707
 C, 10, MRMR, AdaBoost, LOOCV, 0.61222126012, 0.0701551437378
 C, 50, MRMR, AdaBoost, LOOCV, 0.695691752454, 0.0916550159454
 C, 100, MRMR, AdaBoost, LOOCV, 0.687266093199, 0.119329929352
 C, 150, MRMR, AdaBoost, LOOCV, 0.728137079887, 0.164799928665
 C, 200, MRMR, AdaBoost, LOOCV, 0.760751087848, 0.173400163651
 C, 250, MRMR, AdaBoost, LOOCV, 0.761916597024, 0.199681997299
 C, 10, JMI, AdaBoost, LOOCV, 0.61222126012, 0.0702290534973
 C, 50, JMI, AdaBoost, LOOCV, 0.695691752454, 0.092099905014
 C, 100, JMI, AdaBoost, LOOCV, 0.687266093199, 0.119294166565
 C, 150, JMI, AdaBoost, LOOCV, 0.728137079887, 0.145995140076
 C, 200, JMI, AdaBoost, LOOCV, 0.760751087848, 0.173728942871
 C, 250, JMI, AdaBoost, LOOCV, 0.761916597024, 0.199517965317
 C, 10, JMIM, AdaBoost, LOOCV, 0.61222126012, 0.0704610347748
 C, 50, JMIM, AdaBoost, LOOCV, 0.695691752454, 0.0925731658936
 C, 100, JMIM, AdaBoost, LOOCV, 0.687266093199, 0.11975312233
 C, 150, JMIM, AdaBoost, LOOCV, 0.728137079887, 0.146013021469
 C, 200, JMIM, AdaBoost, LOOCV, 0.760751087848, 0.173959970474
 C, 250, JMIM, AdaBoost, LOOCV, 0.761916597024, 0.199787139893
 C, 10, MRMR, DT, LOOCV, 0.511492865638, 0.00589489936829
 C, 50, MRMR, DT, LOOCV, 0.540148813646, 0.00785994529724
 C, 100, MRMR, DT, LOOCV, 0.629945712146, 0.0103158950806
 C, 150, MRMR, DT, LOOCV, 0.670625967062, 0.0126891136169
 C, 200, MRMR, DT, LOOCV, 0.718065474303, 0.0152380466461
 C, 250, MRMR, DT, LOOCV, 0.738043622792, 0.0189361572266
 C, 10, JMI, DT, LOOCV, 0.540148813646, 0.00581312179565
 C, 50, JMI, DT, LOOCV, 0.58077947662, 0.00784611701965
 C, 100, JMI, DT, LOOCV, 0.662040802567, 0.0100479125977
 C, 150, JMI, DT, LOOCV, 0.714945767477, 0.0124680995941
 C, 200, JMI, DT, LOOCV, 0.698324208556, 0.0149760246277
 C, 250, JMI, DT, LOOCV, 0.728992963143, 0.0189480781555
 C, 10, JMIM, DT, LOOCV, 0.540148813646, 0.00577902793884
 C, 50, JMIM, DT, LOOCV, 0.552078063845, 0.00781512260437
 C, 100, JMIM, DT, LOOCV, 0.726345086526, 0.0101749897003
 C, 150, JMIM, DT, LOOCV, 0.690305242725, 0.0124769210815
 C, 200, JMIM, DT, LOOCV, 0.699793900864, 0.0150420665741
 C, 250, JMIM, DT, LOOCV, 0.695691752454, 0.0189189910889
 C, 10, MRMR, RandomForest, LOOCV, 0.660315498809, 0.0247180461884
 C, 50, MRMR, RandomForest, LOOCV, 0.683045367212, 0.0201978683472
 C, 100, MRMR, RandomForest, LOOCV, 0.738985976553, 0.0203359127045
 C, 150, MRMR, RandomForest, LOOCV, 0.795109971831, 0.0211269855499
 C, 200, MRMR, RandomForest, LOOCV, 0.79158326806, 0.0218000411987
 C, 250, MRMR, RandomForest, LOOCV, 0.750915750916, 0.0230100154877
 C, 10, JMI, RandomForest, LOOCV, 0.605616605617, 0.0189068317413
 C, 50, JMI, RandomForest, LOOCV, 0.698324208556, 0.0201570987701
 C, 100, JMI, RandomForest, LOOCV, 0.825242785932, 0.020416021347
 C, 150, JMI, RandomForest, LOOCV, 0.727600643258, 0.02175116539
 C, 200, JMI, RandomForest, LOOCV, 0.738985976553, 0.0217270851135
 C, 250, JMI, RandomForest, LOOCV, 0.727600643258, 0.022824048996
 C, 10, JMIM, RandomForest, LOOCV, 0.639699587919, 0.0184419155121
 C, 50, JMIM, RandomForest, LOOCV, 0.728992963143, 0.0199999809265
 C, 100, JMIM, RandomForest, LOOCV, 0.79242979243, 0.0202760696411
 C, 150, JMIM, RandomForest, LOOCV, 0.793607963908, 0.021281003952
 C, 200, JMIM, RandomForest, LOOCV, 0.738349597151, 0.0224311351776
 C, 250, JMIM, RandomForest, LOOCV, 0.781560047612, 0.02263712883
 C, 10, MRMR, ExtraTree, LOOCV, 0.687266093199, 0.0172479152679
 C, 50, MRMR, ExtraTree, LOOCV, 0.79242979243, 0.0176351070404
 C, 100, MRMR, ExtraTree, LOOCV, 0.782624162411, 0.0180060863495
 C, 150, MRMR, ExtraTree, LOOCV, 0.763395053261, 0.018424987793
 C, 200, MRMR, ExtraTree, LOOCV, 0.815683593629, 0.0187170505524
 C, 250, MRMR, ExtraTree, LOOCV, 0.824039293184, 0.0190260410309
 C, 10, JMI, ExtraTree, LOOCV, 0.656071369066, 0.0172879695892
 C, 50, JMI, ExtraTree, LOOCV, 0.688644688645, 0.0177021026611
